DOC,Titre,Chapitre,Section,Article,Contenu,Pages
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre II : De La Société à Directoire et à Conseil De Surveillance,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 105 :,"Le déplacement du siège social dans la même préfecture ou province, peut être décidé par le conseil de surveillance, sous réserve de ratification de cette décision par la prochaine assemblée générale extraordinaire.",[41]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre III : Dispositions Communes,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 106 :,"En cas de fusion d'une société anonyme à conseil d'administration et d'une société anonyme à directoire et à conseil de surveillance, le nombre des administrateurs ou des membres du conseil de surveillance, selon le cas, peut dépasser le nombre de douze ou de quinze jusqu'à concurrence du nombre total des administrateurs et des membres du conseil de surveillance en fonction depuis plus de six mois dans les sociétés fusionnées sans pouvoir dépasser le nombre de vingt-quatre ou de vingt- sept. Les dispositions des articles 39, alinéa 3 et 83 alinéa 3 sont applicables.",[42]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre III : Dispositions Communes,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 106 bis : [inséré par l’article 2 de la loi 78-12],"Pour les sociétés dont les actions sont inscrites à la cote de la bourse des valeurs, un comité d'audit agissant sous la responsabilité, selon le cas, du conseil d'administration ou du conseil de surveillance, doit être créé. Ce comité, assure le suivi des questions relatives à l'élaboration et au contrôle des informations comptables et financières. Ce comité, dont la composition est fixée par le conseil précité, comprend des administrateurs ou des membres du conseil de surveillance à l'exclusion de ceux qui exercent toute autre fonction au sein de la société. Les membres du comité doivent justifier d'une expérience suffisante en matière financière ou comptable et être indépendants au regard de critères précisés et publiés par le conseil précité, selon les modalités fixées par l'Autorité marocaine du marché des capitaux. Sans préjudice des compétences et responsabilités des organes chargés de l'administration, de la direction ou de la gestion, le comité de l'audit est notamment chargé : 1) du suivi de l'élaboration de l'information destinée aux actionnaires, au public et à l'Autorité marocaine du marché des capitaux ; 2) du suivi de l'efficacité des systèmes de contrôle interne, d'audit interne et, le cas échéant, de gestion des risques liés à la société ; 3) du suivi du contrôle légal des comptes sociaux et des comptes consolidés ; 4) de l'examen et du suivi de l'indépendance des commissaires aux comptes, en particulier pour ce qui concerne la fourniture de services complémentaires à l'entité contrôlée. Il émet une recommandation à l'assemblée générale sur les commissaires aux comptes dont la désignation est proposée. Il rend compte régulièrement au conseil d'administration ou au conseil de surveillance de l'exercice de ses missions et l'informe sans délai de toute difficulté rencontrée. DES ASSEMBLEES D'ACTIONNAIRES","[42, 43, 44]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 107 :,Les assemblées d'actionnaires qui se tiennent au cours de la vie sociale sont générales ou spéciales. Les assemblées spéciales ne réunissent que les titulaires d'une même catégorie d'actions.,[44]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 108 :,Les assemblées générales sont ordinaires ou extraordinaires. Elles représentent l'ensemble des actionnaires.,[44]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 109 :,"Les décisions des assemblées générales s'imposent à tous, même aux absents, incapables, opposants, ou privés du droit de vote.",[44]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 110 : (Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"L'assemblée générale extraordinaire est seule habilitée à modifier les statuts dans toutes leurs dispositions ; toute clause contraire est réputée non écrite. Elle ne peut, toutefois, comme il est dit à l'article premier, augmenter les engagements des actionnaires, sous réserve des opérations résultant d'un regroupement d'actions régulièrement effectué, ni changer la nationalité de la société. Elle ne délibère valablement que si les actionnaires présents ou représentés possèdent au moins, sur première convocation, la moitié, et, sur deuxième convocation, le quart des actions ayant le droit de vote. A défaut de ce dernier quorum, la deuxième assemblée peut être prorogée à une date postérieure de deux mois au plus à celle à laquelle elle avait été convoquée. Elle statue à la majorité des deux tiers des voix des actionnaires présents ou représentés. Les statuts peuvent prévoir que sont réputés présents pour le calcul du quorum et de la majorité, les actionnaires qui participent à l'assemblée par des moyens de visioconférence ou par des moyens équivalents permettant leur identification dont les conditions sont fixées par l'article 50 bis de la présente loi.",[44]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 111 :(Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"L'assemblée générale ordinaire prend toutes les décisions autres que celles visées à l'article précédent. Elle ne délibère valablement sur première convocation que si les actionnaires présents ou représentés possèdent au moins le quart des actions ayant le droit de vote. Sur deuxième convocation, aucun quorum n'est requis. Elle statue à la majorité des voix dont disposent les actionnaires présents ou représentés. Les statuts peuvent prévoir que sont réputés présents, pour le calcul du quorum et de la majorité, les actionnaires qui participent à l'assemblée par des moyens de visioconférence ou par des moyens équivalents permettant leur identification dont les conditions sont fixées par l'article 50 bis de la présente loi.",[45]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 112 :,"Lorsque la société, dans les deux ans suivant son immatriculation au registre du commerce acquiert un bien appartenant à un actionnaire et dont la valeur est au moins égale à un dixième du capital social, un commissaire, chargé d'apprécier, sous sa responsabilité, la valeur de ce bien, est désigné par ordonnance du président du tribunal statuant en référé à la demande du président du conseil d'administration ou du président du conseil de surveillance. Ce commissaire est soumis aux dispositions prévues à l'article 25. Le rapport du commissaire est mis à la disposition des actionnaires. L'assemblée générale ordinaire statue sur l'évaluation du bien, à peine de nullité de l'acquisition. Le vendeur n'a voix délibérative, ni pour lui-même, ni comme mandataire. Les dispositions du présent article ne sont pas applicables lorsque l'acquisition du bien en cause est effectuée en bourse sous forme d'actions cotées, ou sous le contrôle d'une autorité judiciaire, ou dans le cadre des opérations courantes de la société conclues à des conditions normales.",[45]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 113 :,Les assemblées spéciales visées au 2e alinéa de l'article 107 sont compétentes pour statuer sur toute décision intéressant la catégorie d'actions dont leurs membres sont titulaires dans les conditions prévues par la présente loi. La décision d'une assemblée générale de modifier les droits relatifs à une catégorie d'actions n'est définitive qu'après approbation par l'assemblée spéciale des actionnaires de cette catégorie. Les assemblées spéciales délibèrent aux conditions de quorum et de majorité prévues à l'article 111.,"[45, 46]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 114 :,"Les règles de quorum et de majorité prévues aux articles 110, 111 et 113 n'établissent qu'un minimum légal pouvant être augmenté par les statuts.",[46]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 115 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"L'assemblée générale ordinaire est réunie au moins une fois par an dans les six mois de la clôture de l'exercice, sous réserve de prolongation de ce délai une seule fois et pour la même durée, par ordonnance du président du tribunal statuant en référé, à la demande du conseil d'administration ou du conseil de surveillance. Après lecture de son rapport, le conseil d'administration ou le directoire présente à l'assemblée générale ordinaire les états de synthèse annuels. En outre, le ou les commissaires aux comptes relatent, dans leur rapport, l'accomplissement de leur mission et font part de leurs conclusions.",[46]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 116 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008). [modifié et complété par l’article,"premier de la loi 78-12 L'assemblée générale est convoquée par le conseil d'administration ou le directoire, à défaut, et en cas d’urgence elle peut être également convoquée par : 1) le ou les commissaires aux comptes ; 2) un mandataire désigné par le président du tribunal statuant en référé à la demande, soit de tout intéressé en cas d'urgence, soit d'un ou plusieurs actionnaires réunissant au moins le dixième du capital social ; 3) les liquidateurs. 4) les actionnaires majoritaires en capital ou en droits de vote après une offre publique d'achat ou d'échange ou après une cession d'un bloc de titres modifiant le contrôle de la société ; 5) le conseil de surveillance. Le ou les commissaires aux comptes ne peuvent convoquer l'assemblée des actionnaires qu'après avoir vainement requis sa convocation par le conseil d'administration ou le conseil de surveillance et le directoire En cas de pluralité des commissaires aux comptes, ils agissent d'accord entre eux et fixent l'ordre du jour. S'ils sont en désaccord sur l'opportunité de convoquer l'assemblée, l'un d'eux peut demander au président du tribunal, statuant en référé, l'autorisation de procéder à cette convocation, les autres commissaires et le président du conseil d'administration ou du conseil de surveillance et du directoire dûment appelés. L'ordonnance du président du tribunal, qui fixe l'ordre du jour, n'est susceptible d'aucune voie de recours. Les frais entraînés par la réunion de l'assemblée sont à la charge de la société.","[46, 47]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 116 bis :(Ajouté par l'article 3 de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,Les dispositions de l'article 116 sont applicables aux assemblées spéciales.,[47]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 117 :,"L'ordre du jour des assemblées est arrêté par l'auteur de la convocation. Toutefois, un ou plusieurs actionnaires représentant au moins cinq pour cent du capital social ont la faculté de requérir l'inscription d'un ou de plusieurs projets de résolutions à l'ordre du jour. Lorsque le capital social de la société est supérieur à cinq millions de dirhams, le montant du capital à représenter en application de l'alinéa précédent est réduit à deux pour cent pour le surplus.",[47]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 118 :,"Sous réserve des questions diverses qui ne doivent présenter qu'une importance minime, les questions inscrites à l'ordre du jour sont libellées de telle sorte que leur contenu et leur portée apparaissent clairement sans qu'il ait lieu de se reporter à d'autres documents. L'assemblée ne peut délibérer sur une question qui n'est pas inscrite à l'ordre du jour. Néanmoins, elle peut, en toutes circonstances, révoquer un ou plusieurs administrateurs ou membres du directoire et procéder à leur remplacement. L'ordre du jour de l'assemblée ne peut être modifié sur deuxième convocation.",[47]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 119 :,"L'auteur de la convocation doit établir et présenter à toute assemblée, un rapport sur les questions inscrites à l'ordre du jour et les résolutions soumises au vote.",[47]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 120 :,"Tout actionnaire d'une société ne faisant pas publiquement appel à l'épargne qui veut user de la faculté prévue à l'article 117, alinéa 2 peut demander à la société de l'aviser, par lettre recommandée, de la date prévue pour la réunion des assemblées ou de certaines d'entre elles, trente jours au moins avant cette date. La société est tenue d'envoyer cet avis auquel est joint l'ordre du jour et les projets de résolutions, si l'actionnaire lui a adressé le montant des frais d'envoi. La demande d'inscription de projets de résolutions à l'ordre du jour doit être adressée au siège social par lettre recommandée avec accusé de réception vingt jours au moins avant la date de l'assemblée sur première convocation, le cachet de la poste faisant foi.","[47, 48]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 121 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008). [modifié et complété par l’article,"premier de la loi 78-12 Les sociétés faisant publiquement appel à l'épargne sont tenues, trente jours au moins avant la réunion de l'assemblée des actionnaires, de publier un avis de convocation à l'assemblée dans un journal figurant dans la liste fixée par les textes législatifs et réglementaires en vigueur. Cet avis comprend les indications prévues à l'article 124 ainsi que le texte des projets de résolutions qui seront présentés à l'assemblée par le conseil d'administration ou le directoire, complétées par une description précise des procédures que les actionnaires doivent suivre pour participer et voter à l'assemblée, en particulier des modalités de vote par procuration ou par correspondance L'avis de réunion peut ne pas comprendre les informations énumérées au 1er alinéa lorsque celles-ci sont publiées sur le site Internet de la société, au plus tard, le jour même de la publication dudit avis de la réunion. Dans ce cas, ce dernier mentionne l'adresse du site Internet précité. La demande d'inscription des projets de résolution à l'ordre du jour, doit être déposée ou adressée au siège social contre accusé de réception dans le délai de dix jours à compter de la publication de l'avis prévu à l'alinéa précédent. Mention de ce délai est portée dans l'avis.",[48]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 121 bis : [inséré par l’article 2 de la loi 78-12],"Pendant une période interrompue commençant au plus tard le vingt-et unième jour précédant l'assemblée, les sociétés dont les actions sont inscrites à la cote de la bourse des valeurs publient sur leur site internet visé à l'article 155 bis ci-dessous les informations et documents suivants : 1- l'avis mentionné à l'article 121 ; 2- le nombre total de droits de vote existant et le nombre d'actions composant le capital de la société à la date de la publication de l'avis mentionné à l'article 121, en précisant, le cas échéant, le nombre d'actions et de droits de vote existant à cette date pour chaque catégorie d'actions ; 3- les documents destinés à être présentés à l'assemblée ; 4- le texte des projets de résolution qui seront présentés à l'assemblée. Les projets de résolution soumis ou déposés par les actionnaires sont ajoutés au site internet sans délai après réception par la société ; 5- les formulaires de vote par correspondance et de vote par procuration, sauf dans les cas où la société adresse ces formulaires à tous les actionnaires. Lorsque, pour des raisons techniques, ces formulaires ne peuvent être rendus accessibles sur son site internet, la société indique sur celui-ci les lieux, les modalités et les conditions dans lesquels ils peuvent être obtenus. Elle les envoie à ses frais à tout actionnaire qui en fait la demande.","[48, 49]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 122 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008). [modifié et complété par l’article,"premier de la loi 78-12 Les convocations aux assemblées sont faites par un avis inséré dans un journal d'annonces légales. Si toutes les actions de la société sont nominatives, l'avis prévu à l'alinéa premier peut être remplacé par une convocation faite à chaque actionnaire dans les formes et conditions prescrites par les statuts. Pour les sociétés faisant appel public à l'épargne, lorsque la société ne reçoit aucune demande d'inscription des projets de résolution à l'ordre du jour de la part d'un actionnaire, dans les conditions visées à l'article 121 ci-dessus, l'avis de réunion tient lieu d'avis de convocation tel qu'il a été publié.",[49]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 123 :,"Le délai entre la date, soit de l'insertion ou de la dernière des insertions au journal d'annonces légales contenant l'avis de convocation, soit de l'envoi des lettres recommandées et la date de la réunion de l'assemblée est au moins de quinze jours sur première convocation et de huit jours sur convocation suivante.",[49]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 124 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"L'avis de convocation doit mentionner la dénomination sociale suivie, le cas échéant, de son sigle, la forme de la société, le montant du capital social, l'adresse du siège social, le numéro d'immatriculation au registre du commerce, les jour, heure et lieu de réunion ainsi que la nature de l'assemblée ordinaire, extraordinaire ou spéciale, son ordre du jour et le texte des projets de résolutions. Pour les projets de résolutions émanant des actionnaires la convocation doit indiquer s'ils sont agréés ou non par le conseil d'administration ou le conseil de surveillance. L'avis de convocation indique, le cas échéant, les conditions et les modalités de vote par correspondance telles que prévues par l'article 131 bis de la présente loi. La convocation à une assemblée réunie sur deuxième convocation doit rappeler la date de l'assemblée qui n'a pu valablement délibérer.","[49, 50]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 125 :,"Toute assemblée irrégulièrement convoquée peut être annulée. Toutefois, l'action en nullité n'est pas recevable lorsque tous les actionnaires étaient présents ou représentés.",[50]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 126 :,"Sauf clause contraire des statuts, les assemblées d'actionnaires sont réunies au siège social ou en tout autre lieu de la ville où est situé le siège social désigné par l'avis de convocation.",[50]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 127 :,"Les statuts peuvent exiger un nombre minimum d'actions, sans que celui-ci puisse être supérieur à dix, pour ouvrir le droit de participer aux assemblées générales ordinaires. Les actionnaires qui ne réunissent pas le nombre requis peuvent se réunir pour atteindre le minimum prévu par les statuts et se faire représenter par l'un deux.",[50]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 128 :,"Dans toutes les assemblées, le quorum est calculé sur l'ensemble des actions composant le capital social ou la catégorie d'actions intéressée, déduction faite éventuellement de celles qui sont privées du droit de vote en vertu de dispositions légales ou statutaires.",[50]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 129 :,"Sauf dispositions contraires des statuts, le droit de vote attaché à l'action appartient à l'usufruitier dans les assemblées générales ordinaires et au nu-propriétaire dans les assemblées générales extraordinaires. Les copropriétaires d'actions indivises sont représentés aux assemblées générales par l'un d'eux ou par un mandataire unique. En cas de désaccord, le mandataire est désigné par le président du tribunal, statuant en référé, à la demande du copropriétaire le plus diligent. En cas de nantissement des actions, le droit de vote est exercé par le propriétaire. Le créancier gagiste est tenu de procéder au dépôt des actions nanties, si le débiteur lui en fait la demande et en supporte les frais.","[50, 51]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 130 :,"Les statuts peuvent subordonner la participation ou la représentation aux assemblées, soit à l'inscription de l'actionnaire sur le registre des actions nominatives de la société, soit au dépôt, au lieu indiqué par l'avis de convocation, des actions au porteur ou d'un certificat de dépôt délivré par l'établissement dépositaire de ces actions. La durée pendant laquelle ces formalités doivent être accomplies est fixée par les statuts. Elle ne peut être antérieure de plus de cinq jours à la date de réunion de l'assemblée.",[51]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 131 :(Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Un actionnaire peut se faire représenter par un autre actionnaire, par son conjoint, par un ascendant ou descendant ; dans les sociétés qui font appel public à l'épargne, il peut également se faire représenter par toute personne morale ayant pour objet social la gestion de portefeuilles de valeurs mobilières. Tout actionnaire peut recevoir les pouvoirs émis par d'autres actionnaires en vue de les représenter à une assemblée et ce sans limitation du nombre de mandats ni des voix dont peut disposer une même personne, tant en son nom personnel que comme mandataire, à moins que ce nombre ne soit fixé dans les statuts. Sauf dispositions contraires des statuts, pour toute procuration d'un actionnaire adressée à la société sans indication de mandataire, le président de l'assemblée générale émet un vote favorable à l'adoption des projets de résolutions présentés ou agréés par le conseil d'administration ou le conseil de surveillance et un vote défavorable à l'adoption de tous les autres projets de résolution. Pour émettre tout autre vote, l'actionnaire doit faire choix d'un mandataire qui accepte de voter dans le sens indiqué par le mandant. Les clauses contraires aux dispositions des deux premiers alinéas sont réputées non écrites.",[51]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 131 bis :(Ajouté par l'article 3 de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Les statuts peuvent prévoir que tout actionnaire peut voter par correspondance au moyen d'un formulaire. Les formulaires ne donnant aucun sens de vote ou exprimant une abstention ne seront pas pris en considération pour le calcul de la majorité des voix. Le formulaire de vote par correspondance adressé à la société pour une assemblée vaut pour les assemblées successives convoquées avec le même ordre du jour. A compter de la convocation de l'assemblée, un formulaire de vote par correspondance et ses annexes sont remis ou adressés, aux frais de la société, à tout actionnaire qui en fait la demande, par tous moyens prévus par les statuts ou l'avis de convocation. La société doit faire droit à toute demande déposée ou reçue au siège social au plus tard dix jours avant la date de réunion. Ce délai est réduit à six jours pour les sociétés qui ne font pas publiquement appel à l'épargne. Pour le calcul du quorum, il n'est tenu compte que des formulaires qui ont été reçus par la société avant la réunion de l'assemblée. La date après laquelle il ne sera plus tenu compte des formulaires de vote reçus par la société ne peut être antérieure de plus de deux jours à la date de la réunion de l'assemblée. Le contenu du formulaire de vote par correspondance, ainsi que les documents qui doivent y être annexés, sont fixés par décret.","[51, 52]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 132 :,"La procuration donnée pour se faire représenter à une assemblée par un actionnaire est signée par celui-ci et indique ses prénom, nom et domicile. Le mandataire désigné n'a pas faculté de se substituer une autre personne. Le mandat est donné pour une seule assemblée. Il peut cependant être donné pour deux assemblées, l'une ordinaire, l'autre extraordinaire, tenues le même jour ou dans un délai de quinze jours. Le mandat donné pour une assemblée vaut pour les assemblées successives convoquées avec le même ordre du jour.",[52]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 133 :,La société ne peut voter avec des actions par elle acquises ou prises en gage. Il n'est pas tenu compte de ces actions pour le calcul du quorum.,[52]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 134 :,"A chaque assemblée est tenue une feuille de présence qui indique les prénom, nom et domicile des actionnaires et, le cas échéant, de leurs mandataires, le nombre d'actions et de voix dont ils sont titulaires. La feuille de présence à laquelle sont annexés les pouvoirs de représentation reçus par les actionnaires ou adressés à la société doit être émargée par les actionnaires présents et par les mandataires des actionnaires représentés et certifiée exacte par le bureau de l'assemblée. Le bureau de l'assemblée est composé d'un président et de deux scrutateurs, assistés d'un secrétaire.","[52, 53]"
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 135 :,"Les assemblées d'actionnaires sont présidées par le président du conseil d'administration ou du conseil de surveillance, ou en son absence, par la personne désignée dans les statuts. A défaut, l'assemblée élit elle-même son président. En cas de convocation par le ou les commissaires aux comptes, par un mandataire de justice ou par les liquidateurs, l'assemblée est présidée par celui ou par l'un de ceux qui l'ont convoquée. Sont désignés scrutateurs de l'assemblée les deux membres de celle-ci disposant par eux mêmes, ou à titre de mandataires, du plus grand nombre de voix et acceptant cette fonction. Le bureau de l'assemblée désigne le secrétaire qui peut être le secrétaire du conseil d'administration prévu à l'article 64 ou toute autre personne choisie en dehors des actionnaires, sauf dispositions contraires des statuts.",[53]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,"Article 136 : [modifié et complété par l’article premier de la loi 78-12 Les délibérations des assemblées sont constatées par un procès-verbal signé par les membres du bureau et établi sur un registre ou sur des feuillets mobiles dans les conditions prévues à l'article 53. Le procès-verbal mentionne les date et lieux de réunion, le mode de convocation, l'ordre du jour, la composition du bureau, le nombre d'actions participant au vote et le quorum atteint, les documents et rapports soumis à l'assemblée, un résumé des débats, le texte des résolutions mises aux voix et le résultat des votes. Ledit procès-verbal précise, au moins, pour chaque résolution, le nombre d'actions pour lesquelles des votes ont été valablement exprimés, la proportion du capital social représenté par ces votes, le nombre total des votes valablement exprimés, ainsi que le nombre des votes exprimés pour et contre chaque résolution et, le cas échéant, le nombre d'abstentions. Les sociétés dont les actions inscrites à la cote de la bourse des valeurs publient sur leur site internet, dans un délai qui ne dépasse pas quinze jours après la réunion de l'assemblée, les résultats des votes établis conformément à l'alinéa précédent. 53",,[53]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 137 :,"Lorsque l'assemblée ne peut valablement délibérer faute de quorum, il en est dressé procès-verbal par le bureau de ladite assemblée.",[54]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 138 :,"Les copies ou extraits des procès-verbaux des assemblées sont valablement certifiés, dans les conditions prévues à l'alinéa premier de l'article 54. En cas de liquidation de la société, ils sont valablement certifiés par un seul liquidateur.",[54]
Loi n° 17-95,TITRE IV - DES ASSEMBLEES D'ACTIONNAIRES,,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 139 :,"Les délibérations prises par les assemblées en violation des dispositions des articles 110, 111, 113 (alinéa 3), 117, 118 (alinéa 2) et 134 sont nulles. DE L'INFORMATION DES ACTIONNAIRES l'épargne","[54, 55]"
Loi n° 17-95,TITRE V - DE L'INFORMATION DES ACTIONNAIRES,Chapitre Premier : Des sociétés anonymes ne faisant pas appel public à,Section II : Des fonctions et pouvoirs des organes de direction et de surveillance,Article 140 :,"L'auteur de la convocation est tenu d'adresser ou de mettre à la disposition des actionnaires ou de leurs mandataires justifiant de leurs pouvoirs, les documents énumérés à l'article suivant.",[55]
