Doc,Chapitre,Titre,SousTitre1,SousTitre2,SousTitre3,Article,Contenu,Pages
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,2. IMPORTATIONS DE SERVICES,2.3. Formalités pré-règlements,,,Article 61 - - Remise de documents,"Avant l’exécution des règlements au titre des opérations d’importation de services telles que prévues par la présente Instruction, les banques doivent se faire remettre la facture, le contrat lorsqu’il s’agit d’opérations d’importation de services se rapportant à des prestations étalées dans le temps et selon les secteurs, les documents désignés ci-après :  L’accord de l’Agence Nationale de Réglementation des Télécommunications (ANRT) autorisant le centre d’appels à fournir des services d’information on-line ou, à défaut, l’accusé de dépôt de dossier auprès des services de l’ANRT par le centre d’appel ;  L’accord de la Haute Autorité de la Communication Audiovisuelle (HACA) pour la location de segments ou d’espaces satellitaires par les opérateurs publics ou privés opérant dans le secteur de l’audiovisuel ;  L’accord du Centre Cinématographique Marocain pour l'exploitation de films étrangers au Maroc ;  L’accord du Ministère en charge de la pêche maritime, le contrat d’affrètement et l’état des captures visé par ledit Ministère et ce, lorsqu’il s’agit d’affrètement de bateaux de pêche ;  L’accord du Ministère en charge de la pêche maritime, dans le cas où les sociétés de pêche sont amenées à rallier des zones de pêche étrangères dans le cadre de licences accordées par des pays étrangers, ou des ports étrangers pour effectuer des opérations de révision technique, de réparation et/ou de soutage en gasoil de leurs bateaux de pêche ainsi que toutes autres dépenses connexes ;  Copies des Déclarations Uniques de Marchandises (DUM) justifiant l’exportation temporaire et le retour au Maroc du matériel à réparer ou du produit à transformer, à l’exception des réparations concernant les aéronefs ;  Copie de la DUM justifiant l’exportation temporaire du matériel à réparer ou du produit à transformer dans le cas de règlements par anticipation, étant entendu que l’opérateur demeure tenu de justifier à la banque l’entrée sur le territoire assujetti du matériel ou du produit exporté temporairement, par la production de la DUM correspondante ;  Copie du document de transport, lorsqu’il s’agit d’une prestation de déménagement.  Pour le règlement des rémunérations au titre de la mise à disposition du personnel : - Factures faisant ressortir le détail des montants à transférer (période couverte, liste du personnel concerné, ventilation du montant facturé : rémunération perçue à l’étranger, charges sociales et frais) ; - Copie du contrat d’expatriation ou de détachement, conclu par le salarié expatrié ou détaché avec son employeur d’origine. Le contrat d’expatriation ou de détachement doit préciser les rémunérations à percevoir au Maroc et à l’étranger ; - Copie du contrat de travail. Ce contrat doit être homologué par le Ministère chargé de l’emploi, pour le personnel étranger ; - Copie de l’avis de règlement de l’IR au Maroc au titre des revenus perçus à l’étranger.  Copies des billets d’avion émis à l’étranger et factures faisant ressortir les frais de séjour engagés au Maroc, pour le remboursement des frais de voyage et de séjour d’intervenants non-résidents ;  Pour le service de transport étranger-étranger, rendu aux sociétés relevant du secteur des industries aéronautiques et spatiales immatriculées auprès de l’Office des Changes conformément aux dispositions de l’article 17 de la présente Instruction, correspondant à l’acheminement de matériels acquis à l'étranger, vers un autre pays pour subir toute réparation ou perfectionnement avant son importation au Maroc, le règlement peut être effectué sur présentation à la banque de la facture de transport, de la facture d’achat du matériel et de la facture de réparation ou de perfectionnement. Tout document présenté à la banque pour l’exécution des règlements au titre d’opération d’importation de services doit faire ressortir les éléments suivants : - la dénomination des parties contractantes et leur lieu de résidence ; - la date de conclusion du contrat et, le cas échéant, sa durée ; - l’objet, la nature et l’étendue des prestations à fournir ainsi que la consistance des droits à concéder, le cas échéant ; - la rémunération convenue et les modalités de règlement ; - la partie à laquelle incombe le règlement des impôts et taxes dus au Maroc. Lorsque le contrat ne la prévoit pas, l’impôt est à la charge du prestataire de service non-résident.","[56, 57, 58]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,2. IMPORTATIONS DE SERVICES,2.4. Formalités post-règlements,,,Article 62 - - Déclaration,"La banque doit transmettre à l'Office des Changes tout dossier non apuré, relatif à des opérations d’importation de services réglées par acomptes ou par anticipation, soit par la non production de la facture définitive, soit par la non justification du rapatriement des montants transférés et ce, dans un délai de 30 jours après expiration du délai de trois mois à compter de la date du règlement de l'acompte ou du règlement par anticipation.",[58]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.1. Définition,,,Article 63 - - Définition,"L’exportation de biens désigne, au sens de la présente Instruction, toute expédition de marchandises à destination de l’étranger ou d’une zone d’accélération industrielle ou de tout autre espace assimilé étranger au regard de la réglementation du commerce extérieur et des changes en vigueur. L’exportation de biens peut consister en :  Une vente ferme se traduisant par l’expédition définitive de la marchandise, ayant comme corollaire la mutation de la propriété de cette dernière ;  Une vente en consignation se traduisant par l’expédition à l’étranger de marchandises, réalisée sur la base d’un contrat conclu entre un exportateur de biens et un commissionnaire étranger aux termes duquel, ce dernier s’engage à prendre en charge la commercialisation de ces produits sur des marchés extérieurs et à établir des décomptes de vente. Ces marchandises restent la propriété de l’exportateur marocain jusqu’à leur vente définitive.",[59]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.2. Formalités pré-réalisations de l’opération d’exportation,,,Article 64 - - Contrat commercial,"Toute opération d’exportation de biens doit donner lieu à l’établissement d’un contrat commercial et doit être réalisée conformément aux dispositions de la réglementation douanière et du commerce extérieur. Pour les ventes en consignation, le décompte de vente doit faire ressortir les éléments suivants :  La date de la vente ;  Le prix unitaire ;  Le nombre de colis, les quantités vendues et le poids correspondant ;  Le prix global de la vente ;  La nature et les montants des frais déduits à la source ;  Le montant net des ventes à rapatrier au Maroc. Les marchandises éligibles au régime des ventes en consignation sont constituées des produits frais : fruits, légumes, produits de la pêche et fleurs.",[59]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 65 - - Rapatriement du produit des exportations de biens,"L’exportateur de biens est tenu de rapatrier le montant intégral du produit de ses exportations, conformément aux dispositions de l’article 8 de la présente Instruction. Le règlement peut être également effectué en devises billets de banques importés conformément aux dispositions de la présente Instruction. Toute diminution du montant à rapatrier doit intervenir dans le cadre :  Des dispositions de l’article 68 de la présente Instruction, ou ;  D’une autorisation particulière de l’Office des Changes. Lorsque les exportations sont couvertes par un contrat de factoring mettant en relation un factor marocain et l’exportateur, ce dernier est tenu de justifier le rapatriement de la créance concernée ou sa cession en faveur d’un factor marocain. Le factor est tenu, pour sa part, d’encaisser, de rapatrier et de céder sur le marché des changes dans les délais règlementaires la totalité des créances qui lui ont été cédées par les exportateurs. En cas de non recouvrement intégral ou partiel du produit des exportations de biens suite à l’insolvabilité du client non résident ou d’un litige l’opposant à l’exportateur marocain, ce dernier est tenu de justifier à l’Office des Changes le motif du non recouvrement de sa créance par des documents probants, de poursuivre par tout moyen approprié le recouvrement de ses créances et de tenir régulièrement l’Office des Changes informé des démarches entreprises à ce titre. a- Délai de rapatriement : L’exportateur de biens dispose d’un délai maximum de 150 jours à compter de la date d’enregistrement de la déclaration douanière pour rapatrier le produit des exportations de biens. b- Cession des devises rapatriées : Les montants rapatriés doivent être cédés dans les conditions prévues par l’article 20 de la présente Instruction. Toutefois, les exportateurs de biens peuvent loger une partie des recettes rapatriées dans des comptes en devises ou en dirhams convertibles ouverts auprès des banques conformément aux dispositions de l’article 66 de la présente",[60]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 66 - - Comptes en devises ou en dirhams convertibles des exportateurs de biens et de services," Les banques sont autorisées à ouvrir dans leurs livres, au nom des exportateurs de biens et de services, personnes morales ou physiques inscrites au registre du commerce, des comptes en devises ou en dirhams convertibles destinés à leur permettre de régler leurs dépenses professionnelles en devises. Les exportateurs de biens et de services peuvent détenir plusieurs comptes en devises et/ou en dirhams convertibles auprès d’une ou de plusieurs banques. Pour le règlement de leurs dépenses en devises, les exportateurs titulaires de ces comptes doivent utiliser en priorité leurs disponibilités en devises ou en dirhams convertibles. Modalités de fonctionnement : Opérations au crédit : 1) 70%, au maximum, des recettes d’exportation rapatriées y compris le paiement du crédit acheteur accordé par une banque marocaine et les remboursements en principal du crédit fournisseurs, diminuées, le cas échéant, des réductions de prix et des commissions à l’exportation prélevées à la source ou par voie de transfert ; Ce taux peut être porté à 85% pour les sociétés relevant du secteur des industries aéronautiques et spatiales immatriculées auprès de l’Office des Changes conformément aux dispositions de l’article 17 de la présente Instruction, ainsi que pour les opérateurs catégorisés par l’Office des Changes conformément aux dispositions de l’article 17 bis de la présente Instruction. Les devises rapatriées et n’ayant pas fait l’objet d’une alimentation du compte en devises ou en dirhams convertibles, peuvent être portées au crédit du compte ouvert auprès de la banque ayant reçu les fonds, dans la limite des taux susvisés et ce, dans un délai maximum d’un an à compter de la date de cession des devises sur le marché des changes. 2) 70% de la valeur de la facture, encaissée en billets de banque étrangers et ce, sur présentation de la facture correspondante et de l’original de la déclaration douanière souscrite à l’occasion de l’importation des billets de banque étrangers datée de moins de 30 jours. Cette déclaration doit être annotée par la banque ayant reçu les billets de banque à hauteur des montants encaissés. Ladite banque est tenue de conserver une copie de la déclaration annotée pour les besoins du contrôle ; 3) Versement des devises billets de banque prélevées et non utilisées suite à l’annulation de voyages professionnels, dans un délai de 30 jours à compter de la date de prélèvement des devises et ce, sur présentation du passeport justifiant que le bénéficiaire de la dotation n’a pas quitté le territoire national ; 4) Versement du reliquat des devises billets de banque prélevées et non utilisées au titre de voyages professionnels réalisés, dans un délai de 30 jours à compter de la date d’entrée sur le territoire national et ce, sur présentation de la déclaration douanière souscrite au bureau douanier d’entrée. Le reliquat des devises non-utilisées et ne pouvant être justifié par une déclaration d’importation doit être cédé dans le même délai à une banque ou à un opérateur de change manuel ; 5) Les intérêts sur les dépôts à vue ; 6) Les sommes prélevées pour couvrir des dépenses au Maroc. Ces sommes peuvent être re-créditées au compte de l’exportateur dans un délai maximum d’une année à compter de la date de leurs prélèvements ; 7) Les sommes provenant d’un autre compte en devises ou en dirhams convertibles ouvert au nom du même exportateur ; 8) Les montants initialement débités du compte au titre d’annulation de règlements en partie ou en totalité. Opérations au débit : 1) Toute dépense en devises relative à l'activité professionnelle de l'exportateur et portant sur des opérations, courantes ou en capital, réalisées conformément aux dispositions de la présente Instruction. Le règlement de ces dépenses doit être effectué conformément aux dispositions de l’article 7 de la présente Instruction, sur présentation des pièces justificatives prévues à ce titre. Néanmoins, certaines dépenses peuvent être réglées directement à l’étranger, sous la responsabilité du titulaire du compte, par chèque tiré sur le compte, par carte de paiement internationale adossée audit compte ou par utilisation de billets de banque étrangers obtenus par débit dudit compte. Il s’agit des :  Frais afférents à la réalisation d’opérations d’investissement à l’étranger des personnes morales telles que définies par l’article 169 de la présente Instruction (honoraires, impôts, droits, taxes et redevances) ;  Dépenses au titre des voyages d’affaires telles que définies par l’article 105 de la présente Instruction ;  Frais d'abonnement à des revues scientifiques et techniques, de cotisations et droits d'adhésion à des associations professionnelles ;  Frais de publicité engagés à l’étranger : insertion dans les journaux, revues, périodiques, affichage ;  Frais de transit, frais de transport, frais d'analyse ou d'échantillonnage ;  Frais payables au titre des soumissions à des marchés à réaliser à l'étranger ;  Frais liés à l’exploitation par les transporteurs marocains de leurs véhicules à l’étranger tels les dépenses de carburant et lubrifiants, les frais de péage d’autoroutes ainsi que tous autres frais liés au véhicule ;  Frais de participation à des manifestations internationales ;  Frais liés aux services en rapport avec à son activité, prévus à l’annexe 1 de la présente Instruction ; Il demeure entendu que pour la délivrance des devises billets de banques, obtenues par débit dudit compte, le montant à servir par la banque, à l’occasion de chaque voyage professionnel à l’étranger, ne peut pas dépasser la contrevaleur de 100.000 dirhams, par personne. 2) Sommes destinées à alimenter un autre compte en devises ou en dirhams convertibles ouvert au nom du même exportateur ; 3) Frais de voyages organisés par les agences de voyage au profit de résidents. Les frais de prestations terrestres à l’étranger ainsi que les frais de transport payables en devises conformément aux dispositions de la présente Instruction, peuvent être prélevés sur les disponibilités du compte sur présentation des pièces justificatives prévues par la présente Instruction ; 4) Sommes destinées à régler des dépenses au Maroc.","[61, 62, 63]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 67 - - Opérations d’exportation de biens « sans paiement »,"Les opérations d’exportation sans paiement sont soumises à l'autorisation préalable de l'Office des Changes a l’exception des cas suivants :  Biens d’une valeur inférieure ou égale à 10.000 (dix mille) dirhams exportés sans valeur commerciale ;  Échantillons dont la valeur est inférieure ou égale à 20.000 (vingt mille) dirhams ;  Biens expédiés à titre temporaire dans le cadre des régimes économiques en douane ;  Produits pharmaceutiques, documents et matériel promotionnel à titre d’échantillons gratuits dans la limite de 3% de la valeur des médicaments à exporter « avec paiement » à condition que leur expédition s’effectue simultanément avec les quantités de produits pharmaceutiques à exporter « avec paiement » ;  Déchets toxiques devant être expédiés pour élimination à l’étranger conformément aux dispositions légales en vigueur ;  Biens destinés à combler un produit manquant ou à remplacer des marchandises défectueuses ;  Biens retournés à l’exportateur marocain pour complément de façon ;  Biens précédemment importés et reconnus non conformes à la commande ou défectueux et ce, sur présentation aux services douaniers d’une attestation bancaire certifiant qu’aucun règlement n’a été et ne sera effectué sous couvert des titres d’importation correspondants ou d’une déclaration douanière justifiant l’importation sans paiement du produit de remplacement ;  Produits expédiés pour tests et analyses par des laboratoires étrangers ;  Livres, revues, périodiques et journaux importés de l’étranger et n’ayant pas été vendus.","[63, 64]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 68 - - Eléments affectant le rapatriement du produit des exportations de biens,"Le rapatriement du produit des exportations de biens peut être impacté dans les cas suivants :  Règlement des frais engagés par le commissionnaire étranger pour la commercialisation des marchandises exportées dans le cadre du régime des ventes en consignation à savoir : commissions de consignation, frais de transit, frais de manutention, frais de transport, droits de douane, frais de ré-emballage et de reconditionnement, frais d’entreposage et de stockage, frais d’expertise, frais d’analyse ou d’échantillonnage, frais de destruction en cas d’avaries et frais de publicité et de promotion ;  Réimportation définitive au Maroc d’une marchandise préalablement exportée, justifiée par une déclaration douanière souscrite sans paiement visée par les services douaniers ;  Règlement, directement à l’étranger, d’importations de biens dans le cadre des mobilisations de créances nées de l’exportation de biens réalisées conformément aux dispositions de l’article 69 de la présente Instruction ;  Octroi en faveur d’un représentant étranger de commissions à l’exportation de biens dans la limite de 10% du montant facturé, prévues par un contrat de représentation ou un contrat de courtage ;  Octroi en faveur de clients étrangers de réductions de prix dans la limite de 5% du montant facturé justifiées par tout document émanant du client étranger (contrat, note de débit, réclamation écrite du client, rapport d’expertise …). Ce taux peut atteindre 10% pour les sociétés opérant dans le secteur des industries aéronautiques et spatiales dûment immatriculées auprès de l’Office des Changes ;  Règlement en faveur des organismes de factoring étrangers des commissions de factoring ou d’affacturage, justifiées par un contrat conclu avec le factor étranger. Le règlement des montants correspondant aux commissions à l’exportation de biens, aux réductions de prix et aux commissions de factoring ou d’affacturage, lorsqu’ils ne sont pas déduits du produit des exportations, peut intervenir conformément aux dispositions de l’article 7 de la présente Instruction, sur présentation aux banques, en sus des justificatifs précités :  Des copies des factures définitives afférentes à l’exportation concernée appuyées de la copie de la Déclaration Unique de Marchandise (DUM) portant la mention main levée ;  Des justificatifs de règlement intégral du produit de l’exportation concernée prévus par l’article 13 de la présente Instruction.","[64, 65]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 69 - - Mobilisation de créances en devises,"Les banques sont autorisées à contracter auprès de leurs correspondants étrangers des lignes de crédit destinées à la mobilisation en devises de créances nées de l'exportation de biens ayant un délai de paiement restant à courir supérieur ou égal à 30 jours, représentées par des effets en devises ou tout autre document attestant de l'existence de la créance en devises. Cette mobilisation de créances peut être utilisée, soit pour :  Le règlement directement des importations de produits et matières premières devant être transformés pour être réexportés ou pour la fabrication de produits destinés à l'exportation. Les titres d'importation correspondants doivent être domiciliés auprès de la banque ayant procédé à la mobilisation, qui doit renseigner sur le système PortNet les règlements effectués par utilisation du produit de cette mobilisation ;  Effectuer un rapatriement de devises avant l'échéance prévue par le contrat de vente. Les montants mobilisés doivent être rapatriés sans délai conformément aux dispositions de l’article 8 de la présente Instruction. La cession desdits montants doit intervenir conformément aux dispositions de l’article 20 de la présente Instruction. Le remboursement du produit de la mobilisation de créances en devises intervient à échéance à concurrence des montants dus par utilisation directe du produit des exportations de biens, ou par transfert à partir du Maroc, au cas où la mobilisation de créances a été utilisée pour le rapatriement avant l’échéance. En cas de non recouvrement des créances nées de l’exportation de biens ayant fait l'objet de mobilisation, résultant d'une insolvabilité du client étranger ou d'un litige l'opposant à l'exportateur marocain, les banques peuvent racheter et transférer les montants en principal et intérêts des créances en cause. Elles doivent également débiter le compte en dirhams convertibles ou en devises de l’exportateur à due concurrence du montant dont il a été initialement crédité au titre du rapatriement du produit de la mobilisation. L’exportateur doit poursuivre, par tout moyen approprié, le recouvrement de sa créance et tenir régulièrement l’Office des Changes informé des démarches entreprises à ce sujet.",[65]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 70 - - Rétrocessions liées aux opérations d’exportation de biens,"Tout montant encaissé en trop (trop perçu) ou au titre de commandes annulées dans le cadre d’opérations d’exportation de biens peut faire l’objet de restitution conformément aux dispositions de l’article 7 de la présente Instruction et ce, sur présentation aux banques des documents ci-après :  La formule bancaire justifiant le rapatriement du produit de l’opération d’exportation concernée ;  La réclamation écrite du client étranger ;  La facture définitive afférente à l’exportation concernée, appuyée de la copie de la Déclaration Unique de Marchandise (DUM) portant la mention main levée. En cas de trop perçu ou copie de la commande en cas d’annulation de l’opération d’exportation ;  La facture provisoire et la facture définitive lorsqu’il s’agit de produits miniers ayant fait l’objet d’une révision de prix suite aux analyses du poids et/ou de la teneur. Les montants encaissés en trop ou au titre de commandes annulées dans le cadre d’opérations d’exportation de biens peuvent faire l’objet de restitution, dans un délai ne dépassant pas une année de la date du règlement en provenance de l’étranger. Les montants dégagés en faveur de l’exportateur marocain suite aux analyses du poids et/ou de la teneur du produit minier doivent être rapatriés dans un délai d’un mois à compter de la date de l’établissement de la facture définitive.","[65, 66]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.3. Dispositions relatives aux règlements,,,Article 71 - - Frais liés aux opérations d’exportation de biens,"a- Frais de transport : Lorsque les frais de transport des marchandises du Maroc au point de vente à l’étranger, sont à la charge de l’exportateur marocain, celui-ci doit procéder à leur règlement en dirhams au Maroc à un agent représentant le transporteur étranger ou à un commissionnaire de transport. Toutefois, lorsque l’exportateur est tenu, pour des contraintes liées à la commercialisation de sa marchandise exportée dans le cadre du régime des ventes en consignation, de recourir aux services d’un transporteur étranger, non représenté au Maroc, pour le parcours Maroc-Etranger ou Etranger-Etranger, les frais de transport y afférents peuvent être réglés soit à l’étranger par prélèvement sur le produit des exportations soit à partir du Maroc, conformément aux dispositions de l’article 7 de la présente Instruction. b- Frais divers : Le règlement des frais engagés à l’étranger, liés à l’acheminement des marchandises vers les clients destinataires (transit, dédouanement, taxes, frais d’établissement du bordereau de suivi de cargaison…) peut être effectué conformément aux dispositions de l’article 7 de la présente Instruction lorsque ces frais sont à la charge de l’exportateur marocain en application des incoterms convenus et ce, sur présentation à la banque des documents suivants :  Facture définitive relative à l’exportation concernée appuyée de la copie de la Déclaration Unique de Marchandise (DUM) portant la mention main levée ;  Factures des frais engagés.","[66, 67]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,3. EXPORTATION DE BIENS,3.4. Formalités post –réalisations,,,Article 72 - - Abrogé,,[67]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.1. Définition,,Article 73 - - Définition,"Les exportations de services désignent, au sens de la présente Instruction, les prestations rendues au Maroc ou à l’étranger par un résident en faveur d’un non-résident et donnant lieu à une rémunération. Le règlement doit être effectué selon les modalités prévues par l’article 8 de la présente Instruction.",[68]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.2. Formalités pré-réalisations,,Article 74 - - Contrat de prestations de services,Les opérations d’exportation de services doivent faire l’objet d’un contrat de prestations de services tel que défini par les dispositions de l’article 2 de la présente,[68]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.3. Dispositions relatives aux règlements,,Article 75 - - Rapatriement du produit des exportations de services,"Les exportateurs de services sont tenus de procéder au rapatriement du montant intégral des recettes de leurs exportations conformément aux dispositions de l’article 8 de la présente Instruction et ce, dans un délai de 90 jours à compter de la date de la réalisation des prestations de services. Les montants rapatriés doivent être cédés, dans les conditions prévues par les articles 20 et 66 de la présente Instruction. Lorsque les exportations sont couvertes par un contrat de factoring mettant en relation un factor marocain et l’exportateur, ce dernier est tenu de justifier le rapatriement de la créance concernée ou sa cession en faveur d’un factor marocain. Le factor est tenu, pour sa part, d’encaisser, de rapatrier et de céder sur le marché des changes dans les délais règlementaires la totalité des créances qui lui ont été cédées par les exportateurs. En cas de non recouvrement intégral ou partiel du produit des exportations de services suite à l’insolvabilité du client non résident ou d’un litige l’opposant à ce dernier, l’exportateur est tenu de poursuivre par tout moyen approprié le recouvrement de ses créances et de tenir l’Office des Changes informé des démarches entreprises à ce titre.","[68, 69]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.3. Dispositions relatives aux règlements,,Article 76 - - Eléments affectant le rapatriement du produit des exportations de services," Le produit des exportations de services peut être impacté par des déductions à l’étranger dans les cas suivants :  Octroi en faveur d’un représentant étranger de commissions à l’exportation de services dans la limite de 10% du montant facturé, prévues par un contrat de représentation ou un contrat de courtage ;  Règlement en faveur des organismes de factoring étrangers des commissions de factoring ou d’affacturage, justifiées par un contrat conclu avec le factor étranger ;  Règlement d’impôts et taxes conformément aux clauses contractuelles et à la réglementation fiscale en vigueur dans le pays de résidence du client ;  Règlement de dépenses nécessaires à l’exécution des marchés réalisés à l’étranger. Le règlement des montants correspondant aux commissions à l’exportation de services et aux commissions de factoring ou d’affacturage peut également intervenir conformément aux dispositions de l’article 7 de la présente Instruction.",[69]
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.3. Dispositions relatives aux règlements,,Article 77 - - Mobilisation de créances en devises,"Les banques sont autorisées à contracter auprès de leurs correspondants étrangers des lignes de crédit destinées à la mobilisation en devises de créances nées de l'exportation de services ayant un délai de paiement restant à courir supérieur ou égal à 30 jours et représentées par des effets en devises ou tout autre document attestant de l'existence de la créance en devises. La mobilisation de créances doit être utilisée pour effectuer un rapatriement de devises avant l'échéance prévue par le contrat. Les montants rapatriés doivent être cédés conformément aux dispositions des articles 20 et 66 de la présente Instruction. Le remboursement du produit de la mobilisation de créances en devises intervient à échéance à concurrence des montants dus par utilisation directe du produit des exportations. Au cas où le rapatriement du produit des exportations de services intervient avant l’échéance, la banque est habilitée à effectuer le règlement au titre du remboursement. En cas de non recouvrement des créances ayant fait l'objet de mobilisation, résultant d'une insolvabilité du client étranger ou d'un litige l'opposant à l'exportateur marocain, les banques peuvent racheter et effectuer le règlement des montants en principal et intérêts des créances en cause. Elles doivent également débiter le compte en dirhams convertibles ou en devises de l’exportateur à due concurrence du montant dont il a été initialement crédité au titre du rapatriement du produit de la mobilisation. L’exportateur doit poursuivre par tout moyen approprié, le recouvrement de sa créance et tenir régulièrement l’Office des Changes informé des démarches entreprises à ce sujet.","[69, 70]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.3. Dispositions relatives aux règlements,,Article 78 - - Préfinancement de marchés à l’étranger,"a- Montants autorisés : Les banques sont autorisées à effectuer, pour le compte des entités marocaines attributaires de marchés dans le cadre d’appels d’offres à l’étranger, des règlements, à titre d’avances, dans la limite d’un taux de 20% de la rémunération contractuelle pour leur permettre de faire face aux dépenses nécessaires à l’exécution de ces marchés à l’étranger en attendant les premiers encaissements et ce, sur présentation des documents suivants :  Copie de l’accusé de réception par l’Office des Changes de la déclaration du marché prévue par l’article 79 de la présente Instruction ;  Copie du contrat du marché. En cas de non réalisation du marché, l’exportateur doit rapatrier, sans délai, les montants transférés à ce titre. b- Ouverture de comptes en devises : Les banques sont autorisées à ouvrir au nom des exportateurs de services soumissionnaires ou titulaires de marchés à l’étranger des comptes en devises destinés à la gestion de ces marchés. Ces comptes peuvent être alimentés à l’ouverture, par un maximum de la contrevaleur en devises de 10.000 dirhams. Chaque compte peut être utilisé pour la gestion de plusieurs marchés à condition de céder sur le marché des changes, après réalisation de chaque marché, au moins 30% de la marge réalisée et de virer, le cas échéant, le reliquat de cette marge à un compte en devises ou en dirhams convertibles ouvert au nom de l’exportateur de service conformément aux dispositions de l’article 66 de la présente Instruction. L’exportateur de services titulaire de marchés ou bien chef de file d’un groupement est autorisé à ouvrir, en son nom, un compte bancaire à l’étranger. Lorsque la soumission à un marché à l’étranger est conditionnée par l’ouverture de comptes à l’étranger, ces comptes peuvent être ouverts, à titre provisoire pour une durée n’excédant pas 6 mois. Si le marché est attribué à l’opérateur marocain, le compte peut être maintenu pour la gestion du marché. Dans le cas contraire, l’opérateur marocain est tenu de clôturer ce compte. Les comptes en devises ouverts au Maroc et les comptes à l’étranger destinés à la gestion de marchés attribué dans le cadre d’appels d’offres à l’étranger doivent fonctionner comme suit : Opérations au crédit :  Les montants des avances au titre des dépenses de marchés à l’étranger ;  Les recettes au titre des services rendus à l’étranger dans le cadre des marchés. Opérations au débit :  Les montants des dépenses engagées dans le cadre de l’exécution de ces marchés à l’étranger ;  Les virements à destination des comptes en dirhams ou des comptes en devises ou en dirhams convertibles ouverts au Maroc au nom de l’exportateur de service conformément aux dispositions de l’article 66 de la présente Instruction. Les comptes ouverts à l’étranger doivent être clôturés dès la réalisation des marchés et les soldes créditeurs doivent être rapatriés au Maroc sans délai, conformément aux dispositions de l’article 66 de la présente Instruction. c- Matériel ou marchandises acquis et utilisés à l’étranger : Les opérateurs marocains titulaires de marché à l’étranger sont habilités à régler le prix d’acquisition du matériel, marchandises et fournitures consommables acquis et utilisés à l’étranger pour les besoins spécifiques des marchés à l’étranger, sur présentation à la banque des documents suivants : - copie de l’accusé de réception par l’Office des Changes de la déclaration du marché prévue par l’article 79 de la présente Instruction ; - factures ou contrats des achats susvisés. d- Prestations de services au titre des marchés à l’étranger : Les banques sont habilitées à transférer les rémunérations dues au titre des prestations de services nécessaires à la réalisation des marchés à l’étranger et ce, sur présentation : - d’une copie de l’accusé de réception par l’Office des Changes de la déclaration du marché prévue par la présente Instruction ; - d’une copie du contrat de prestation de service conclu avec le prestataire étranger. Ce document doit être requis une seule fois lors du premier paiement ; - d’une copie de la facture définitive établie par le prestataire étranger précisant la nature des services rendus. Les sociétés marocaines doivent utiliser en priorité les montants encaissés dans le cadre de la réalisation de leurs marchés à l’étranger pour le règlement des rémunérations dues au titre des prestations de services nécessaires à la réalisation desdits marchés.","[70, 71, 72]"
IGOC 2024,CHAPITRE III- OPERATIONS COURANTES,4. EXPORTATION DE SERVICES,4.1. Exportation de services,4.1.4. Formalités post-réalisations de l’opération d’exportation de services,,Article 79 - - Déclaration,"Les entités marocaines attributaires de marchés à l’étranger sont tenues de transmettre à l’Office des Changes la déclaration de ces marchés établie conformément au modèle prévu en annexe 10, accompagnée d’une copie du marché ou du contrat dans un délai maximum de 30 jours après la notification de l’attribution par le maitre d’ouvrage étranger.",[72]
